Age,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,TotalChildren,NumberChildrenAtHome,Education,Occupation,YearlyIncome
26,F,S,0,3,0,0,High School,Clerical,85130
36,F,S,0,0,0,0,Bachelors,Manual,32155
37,M,S,0,1,0,0,Bachelors,Clerical,83189
43,F,M,1,2,2,0,Partial College,Management,108075
28,M,S,0,1,0,0,Partial College,Manual,34761
30,M,M,0,0,0,0,Partial High School,Skilled Manual,61675
40,F,S,1,1,0,0,Bachelors,Professional,133275
39,M,M,1,3,2,1,Bachelors,Management,112871
44,F,M,1,1,2,0,High School,Clerical,83317
57,M,M,1,1,2,1,High School,Manual,36559
29,M,S,0,1,0,0,High School,Manual,33879
27,M,S,0,0,0,0,High School,Manual,32095
55,M,S,1,3,0,0,Partial College,Clerical,83200
60,F,M,1,1,2,0,Bachelors,Manual,28301
41,M,M,1,1,2,1,High School,Skilled Manual,56786
33,F,S,0,1,0,0,Bachelors,Clerical,84223
32,M,M,0,2,0,0,Partial College,Clerical,87263
32,M,S,0,1,0,0,Graduate Degree,Skilled Manual,57316
41,M,M,1,2,1,0,Partial College,Management,107509
33,M,S,0,2,0,0,Partial College,Clerical,85251
65,F,M,1,2,2,1,Graduate Degree,Skilled Manual,58239
47,M,S,1,2,0,0,Partial College,Clerical,78733
36,M,S,0,1,0,0,Graduate Degree,Skilled Manual,52796
36,F,M,1,1,1,0,Bachelors,Clerical,79943
45,F,S,0,0,0,0,High School,Manual,33503
38,M,S,1,3,0,0,Bachelors,Management,113050
46,M,S,1,1,0,0,Graduate Degree,Management,103493
49,F,S,1,1,0,0,Partial College,Skilled Manual,53291
43,F,M,1,2,1,1,Bachelors,Clerical,86292
44,M,M,1,1,2,0,Partial College,Manual,28453
51,M,S,1,0,0,0,High School,Skilled Manual,56263
31,M,S,0,3,0,0,Bachelors,Management,113436
58,F,M,1,2,2,0,Bachelors,Skilled Manual,53180
40,F,S,0,0,0,0,Bachelors,Manual,33033
42,F,S,0,1,0,0,Partial College,Manual,28227
33,M,M,1,0,1,1,Graduate Degree,Professional,131430
61,F,S,1,1,1,0,Partial College,Skilled Manual,52896
50,M,S,0,1,0,0,High School,Manual,36176
31,F,S,0,2,0,0,Partial College,Clerical,78198
52,M,M,1,0,2,2,Bachelors,Clerical,79214
46,F,M,1,0,2,0,Bachelors,Manual,27381
40,M,M,1,2,2,0,Bachelors,Skilled Manual,56941
38,M,S,0,0,0,0,Bachelors,Clerical,81227
29,M,S,0,0,0,0,Partial College,Management,105310
41,M,M,0,0,1,1,Bachelors,Manual,30721
37,F,S,0,1,0,0,Graduate Degree,Clerical,77341
36,F,M,1,1,1,0,Graduate Degree,Professional,130885
41,M,S,0,0,0,0,Partial High School,Manual,34463
42,M,S,0,1,0,0,Bachelors,Skilled Manual,53926
45,F,M,1,2,2,0,Partial College,Management,111305
34,M,S,0,1,0,0,Partial High School,Manual,27673
40,F,S,0,1,0,0,Bachelors,Skilled Manual,59353
59,F,M,1,3,2,1,High School,Clerical,82735
33,F,S,0,2,0,0,High School,Skilled Manual,59698
47,M,S,0,2,0,0,Bachelors,Skilled Manual,51853
48,M,M,1,1,2,0,Partial High School,Manual,31355
50,F,S,0,1,0,0,High School,Manual,36140
29,F,S,0,2,0,0,Partial College,Clerical,76832
39,M,M,1,2,1,1,Graduate Degree,Clerical,88150
34,M,S,0,0,0,0,Bachelors,Clerical,84406
38,M,S,0,1,0,0,Partial College,Manual,29857
34,F,S,0,0,0,0,Partial High School,Skilled Manual,61885
52,F,M,1,0,2,1,Partial College,Clerical,85940
39,M,M,1,3,1,0,Graduate Degree,Professional,134190
33,F,S,0,1,0,0,Partial High School,Manual,26350
48,M,M,1,2,2,0,Partial College,Management,104806
63,F,S,1,1,1,1,Graduate Degree,Professional,136444
45,M,M,1,1,2,1,High School,Skilled Manual,56977
40,M,S,0,0,0,0,Bachelors,Skilled Manual,57865
42,M,M,1,3,1,1,Bachelors,Clerical,80475
26,M,S,0,0,0,0,High School,Manual,26381
52,M,M,1,2,2,1,Graduate Degree,Skilled Manual,59983
32,M,S,0,3,0,0,Graduate Degree,Professional,129024
28,M,M,0,3,0,0,Partial College,Clerical,84651
47,M,S,0,1,0,0,Bachelors,Skilled Manual,59905
51,F,S,1,2,0,0,High School,Clerical,79973
32,F,S,0,1,0,0,Partial High School,Skilled Manual,56625
65,F,M,1,1,2,1,Bachelors,Skilled Manual,61394
33,M,S,0,2,0,0,High School,Skilled Manual,59258
55,M,M,1,2,2,1,Bachelors,Management,112934
36,F,M,1,2,2,1,Graduate Degree,Clerical,87138
54,F,S,1,1,0,0,High School,Manual,33355
33,M,S,0,0,0,0,Partial College,Clerical,87262
50,F,S,1,1,0,0,Partial College,Clerical,86886
70,M,S,1,3,1,1,Partial College,Management,107776
39,F,M,1,2,0,0,Graduate Degree,Professional,135625
26,M,S,0,0,0,0,High School,Clerical,81768
45,F,M,1,2,2,1,Partial College,Management,103431
40,F,S,0,1,0,0,Bachelors,Skilled Manual,58126
29,M,S,0,3,0,0,Bachelors,Management,106181
50,M,M,1,3,1,1,High School,Clerical,86763
36,M,S,0,3,0,0,High School,Clerical,84678
45,F,S,0,2,0,0,High School,Skilled Manual,55495
76,F,S,1,0,1,1,Graduate Degree,Clerical,81764
59,F,M,1,1,2,0,Bachelors,Professional,133681
52,M,M,1,1,2,1,Partial College,Skilled Manual,55124
55,M,M,1,2,2,0,Partial College,Clerical,86243
59,M,M,1,1,2,0,High School,Skilled Manual,58637
39,F,M,1,2,2,1,Graduate Degree,Professional,127281
56,F,M,1,1,1,1,High School,Manual,34524
36,F,S,0,1,0,0,Graduate Degree,Skilled Manual,59312
28,F,S,0,1,0,0,Partial College,Skilled Manual,56474
46,M,M,1,0,1,0,Graduate Degree,Manual,31849
44,F,M,1,2,2,1,Graduate Degree,Professional,130581
40,M,M,1,2,1,0,Graduate Degree,Skilled Manual,52404
45,M,M,1,0,2,0,Partial College,Clerical,82331
48,M,S,1,2,0,0,Partial College,Skilled Manual,55034
58,M,S,1,1,1,1,High School,Skilled Manual,61038
36,M,M,1,2,0,0,Graduate Degree,Management,105394
45,F,S,1,1,0,0,Partial College,Clerical,86197
56,F,M,1,2,2,2,High School,Skilled Manual,53783
25,M,S,0,0,0,0,Partial High School,Skilled Manual,51498
39,M,M,1,2,2,1,Graduate Degree,Professional,130123
26,M,M,0,1,0,0,Partial High School,Manual,28948
37,M,M,1,1,2,0,Partial College,Clerical,87939
47,M,S,1,3,0,0,Graduate Degree,Clerical,85188
45,F,M,1,0,1,1,Graduate Degree,Professional,136880
52,F,S,1,0,0,0,Graduate Degree,Skilled Manual,54780
45,F,M,1,0,2,1,Partial College,Manual,34495
72,F,M,1,1,2,1,Bachelors,Professional,131951
49,M,M,1,2,2,1,Partial College,Skilled Manual,58503
33,F,M,0,1,2,1,High School,Skilled Manual,57160
29,M,S,0,1,0,0,Partial College,Manual,30744
50,M,M,1,2,2,0,High School,Skilled Manual,62047
46,M,M,1,1,1,1,Bachelors,Manual,28759
29,F,S,0,2,0,0,High School,Clerical,82115
37,F,S,0,0,0,0,Bachelors,Skilled Manual,53492
63,F,M,1,3,2,1,Partial College,Clerical,84709
32,M,M,0,0,0,0,Partial College,Manual,35793
41,F,M,1,1,1,1,Bachelors,Skilled Manual,55637
44,M,M,1,1,2,1,High School,Manual,26406
45,M,S,1,3,0,0,High School,Clerical,79764
33,M,M,0,0,2,2,Partial College,Manual,32442
33,F,M,0,0,1,1,Bachelors,Manual,25630
40,F,M,1,2,2,1,Bachelors,Clerical,86920
50,M,M,1,1,1,1,High School,Skilled Manual,56859
45,F,M,1,2,2,1,High School,Skilled Manual,61858
36,F,S,0,0,0,0,Graduate Degree,Skilled Manual,60801
54,F,M,1,1,2,0,Partial High School,Manual,31537
42,F,S,0,2,0,0,Partial College,Skilled Manual,54254
58,M,M,1,1,2,0,High School,Skilled Manual,61326
41,F,S,0,3,0,0,Bachelors,Clerical,87457
48,F,M,1,3,2,1,Partial College,Management,111861
38,M,S,1,2,0,0,Bachelors,Management,112884
47,M,S,0,1,0,0,Partial College,Manual,26226
59,F,S,1,2,1,0,High School,Clerical,76947
31,M,S,0,1,0,0,Partial College,Manual,27374
42,M,M,1,2,2,1,Bachelors,Management,106958
59,M,M,1,2,2,1,Bachelors,Management,108543
28,M,M,0,0,0,0,Partial College,Skilled Manual,60885
41,M,M,1,2,1,0,Bachelors,Skilled Manual,60202
26,M,S,0,1,0,0,Bachelors,Skilled Manual,61443
38,F,S,0,1,0,0,Partial College,Clerical,80361
32,M,M,1,1,0,0,Graduate Degree,Professional,137109
39,M,M,1,2,1,0,High School,Skilled Manual,52067
64,M,M,1,1,2,1,Bachelors,Manual,29361
70,F,S,1,1,1,1,Partial College,Management,102583
49,M,M,1,0,2,1,High School,Skilled Manual,57953
28,M,S,0,2,0,0,High School,Skilled Manual,59540
48,M,M,1,1,1,0,High School,Skilled Manual,56608
33,F,M,1,2,2,0,Graduate Degree,Clerical,81873
27,F,M,0,2,0,0,High School,Skilled Manual,54449
56,F,M,1,2,2,1,High School,Clerical,80325
36,F,M,0,1,1,0,Graduate Degree,Skilled Manual,59631
63,F,M,1,1,2,0,Partial College,Manual,32415
32,M,M,0,2,0,0,Partial College,Clerical,83690
50,M,M,1,1,2,0,High School,Skilled Manual,51828
57,F,S,1,1,0,0,High School,Skilled Manual,54395
26,M,S,0,1,0,0,High School,Manual,26411
34,F,S,0,1,0,0,Graduate Degree,Clerical,81560
57,M,M,1,0,2,0,Bachelors,Manual,35332
39,F,M,0,1,1,1,High School,Manual,36087
42,M,M,1,2,2,0,Graduate Degree,Management,108030
49,M,M,1,0,2,1,Partial College,Skilled Manual,59429
34,F,S,0,0,0,0,Partial High School,Manual,29059
50,F,S,1,2,0,0,High School,Clerical,76346
31,M,S,0,0,0,0,Partial College,Manual,33133
51,F,S,1,1,0,0,Partial College,Management,111558
28,F,S,0,0,0,0,Partial College,Manual,30706
39,M,S,0,1,0,0,Graduate Degree,Clerical,77306
36,F,S,0,2,0,0,Graduate Degree,Clerical,77135
43,M,M,1,3,2,1,Partial College,Clerical,79055
51,F,M,1,1,2,1,High School,Manual,30879
46,M,M,1,2,2,1,Graduate Degree,Management,104276
34,M,S,0,0,0,0,Partial College,Clerical,84173
62,F,M,1,1,2,1,Bachelors,Management,106656
38,M,S,0,2,0,0,Partial College,Clerical,81964
46,M,M,1,3,2,1,Graduate Degree,Management,102558
46,F,M,1,2,2,1,Bachelors,Management,102329
65,F,S,1,0,1,0,Partial College,Manual,35573
61,M,M,1,2,2,0,Bachelors,Professional,136161
35,F,S,0,1,0,0,Graduate Degree,Skilled Manual,52005
29,F,S,0,1,0,0,Partial College,Management,108365
50,F,M,1,0,2,0,Partial College,Clerical,85737
43,F,M,1,1,2,2,Partial College,Skilled Manual,56996
35,F,M,0,0,2,0,Partial College,Skilled Manual,55348
25,F,S,0,0,0,0,Partial High School,Skilled Manual,53401
47,M,M,1,1,2,0,Bachelors,Skilled Manual,52138
34,F,M,1,2,1,0,Graduate Degree,Clerical,84325
54,F,S,1,1,0,0,Partial College,Manual,31618
53,F,M,1,1,2,1,Partial College,Manual,29840
37,M,M,0,1,1,1,Bachelors,Skilled Manual,59670
39,M,M,1,0,2,1,Graduate Degree,Clerical,78048
59,F,M,1,1,2,1,Bachelors,Skilled Manual,61950
33,F,M,1,4,1,0,Graduate Degree,Management,103673
39,M,M,1,3,2,0,Bachelors,Management,106073
40,M,M,1,3,1,1,Bachelors,Clerical,84002
39,F,S,0,2,0,0,Graduate Degree,Clerical,84591
57,F,M,1,3,2,0,Bachelors,Clerical,85002
31,M,S,0,1,0,0,Partial College,Skilled Manual,59045
43,M,S,0,0,0,0,Graduate Degree,Manual,27721
68,M,M,1,2,2,0,Graduate Degree,Professional,136872
57,M,M,1,1,2,0,High School,Manual,29129
61,M,S,1,1,1,0,High School,Manual,30808
34,F,M,0,1,1,0,Partial High School,Manual,28970
40,M,M,1,1,1,0,Partial College,Skilled Manual,62027
45,M,M,1,0,2,0,Partial College,Manual,33882
39,M,S,0,2,0,0,Bachelors,Clerical,80988
44,F,S,0,2,0,0,Partial College,Skilled Manual,60608
41,F,S,0,1,0,0,High School,Skilled Manual,55003
26,F,S,0,3,0,0,Partial College,Clerical,78926
60,M,S,1,0,1,0,Bachelors,Manual,34141
38,F,M,1,1,2,1,Bachelors,Skilled Manual,50947
51,M,M,1,1,2,1,Partial High School,Manual,30131
31,M,M,0,1,0,0,Bachelors,Skilled Manual,54409
37,F,M,0,0,2,0,Bachelors,Skilled Manual,54414
62,M,M,1,3,2,1,Graduate Degree,Management,108126
36,M,M,0,1,2,2,Graduate Degree,Manual,30729
33,M,S,1,1,0,0,Graduate Degree,Professional,138197
28,F,M,0,1,0,0,Partial College,Skilled Manual,52156
34,F,M,0,0,1,1,Partial High School,Manual,28895
42,F,S,1,3,0,0,Bachelors,Professional,132730
37,F,S,0,1,0,0,Partial College,Clerical,81368
45,F,M,1,3,1,0,Partial College,Clerical,82339
39,F,S,0,1,0,0,High School,Clerical,86264
28,F,M,0,1,0,0,High School,Manual,32212
60,M,S,1,2,1,1,Bachelors,Skilled Manual,52288
51,M,M,1,2,2,1,Partial College,Clerical,87167
41,M,M,1,2,0,0,Bachelors,Management,106622
36,F,M,0,1,1,0,Bachelors,Skilled Manual,56369
41,M,M,1,2,1,0,Bachelors,Skilled Manual,59830
44,F,S,1,1,0,0,Graduate Degree,Professional,136429
50,M,M,1,0,2,1,Partial College,Skilled Manual,52032
57,M,M,1,0,2,1,Partial High School,Manual,29745
27,M,S,0,1,0,0,Partial College,Management,106744
35,F,S,1,0,0,0,Graduate Degree,Professional,128080
39,M,S,0,1,0,0,High School,Manual,31810
64,M,S,1,3,1,1,Bachelors,Management,113404
44,F,S,1,2,0,0,Bachelors,Clerical,80757
71,M,S,1,3,1,0,Graduate Degree,Professional,138895
53,F,S,1,0,0,0,Partial High School,Manual,25716
30,M,S,0,1,0,0,High School,Manual,36010
34,M,M,1,1,1,0,Graduate Degree,Professional,133346
53,F,M,1,2,2,2,High School,Skilled Manual,56546
44,M,M,1,1,2,1,High School,Skilled Manual,53456
34,F,M,1,0,1,1,Graduate Degree,Clerical,87051
52,M,M,1,2,2,1,Partial College,Skilled Manual,55325
38,M,M,1,1,2,1,Bachelors,Professional,132848
44,M,M,1,3,2,1,High School,Clerical,80641
41,M,M,1,2,0,0,Bachelors,Management,109609
54,F,M,1,2,2,0,Partial High School,Skilled Manual,55949
58,F,M,1,1,2,1,High School,Skilled Manual,58918
47,F,M,1,2,2,1,Partial College,Management,106100
38,F,S,0,0,0,0,Bachelors,Skilled Manual,53864
47,M,S,1,3,0,0,Bachelors,Management,109485
34,M,S,0,0,0,0,Partial High School,Manual,32120
33,F,M,1,3,2,1,Bachelors,Professional,136084
41,F,S,0,0,0,0,Partial High School,Manual,34164
44,F,M,1,1,2,1,Partial College,Manual,26675
39,M,M,1,2,2,0,Bachelors,Professional,127768
47,M,M,1,1,2,1,Partial College,Manual,32621
44,F,S,0,0,0,0,High School,Skilled Manual,53458
64,M,M,1,2,2,0,Bachelors,Professional,138046
43,M,M,1,0,1,1,Bachelors,Manual,27984
52,F,M,1,0,2,2,Graduate Degree,Manual,31260
37,F,M,0,1,2,1,Graduate Degree,Skilled Manual,57683
43,M,M,1,1,1,1,Partial College,Skilled Manual,53581
54,M,M,1,2,2,2,High School,Skilled Manual,51565
40,M,S,0,2,0,0,High School,Clerical,86597
68,F,M,1,2,2,1,Graduate Degree,Skilled Manual,53434
52,F,S,1,1,0,0,High School,Clerical,76493
52,M,M,1,1,2,1,High School,Manual,26685
43,M,M,1,1,1,1,Partial College,Manual,30144
44,F,S,1,0,0,0,Partial College,Management,102836
51,F,S,1,2,0,0,Partial College,Skilled Manual,54666
46,F,M,1,1,2,1,Graduate Degree,Clerical,82702
37,M,S,0,1,0,0,Bachelors,Skilled Manual,59540
26,F,S,0,0,0,0,Partial High School,Manual,29076
28,M,S,0,3,0,0,Partial College,Clerical,77626
37,M,M,1,3,1,0,Bachelors,Clerical,80810
50,F,S,1,2,0,0,High School,Clerical,80907
57,M,M,1,0,2,0,Partial High School,Skilled Manual,51410
53,F,M,1,2,2,2,Partial College,Management,109823
58,F,M,1,0,2,0,Partial High School,Manual,30757
59,F,S,1,2,1,0,High School,Clerical,78233
46,F,S,0,1,0,0,Bachelors,Manual,28355
38,F,M,1,1,2,1,Bachelors,Management,106671
36,M,M,0,1,2,1,Partial College,Skilled Manual,54436
42,M,S,0,0,0,0,High School,Manual,30137
42,M,S,0,0,0,0,Bachelors,Manual,31409
48,F,M,1,1,2,0,Partial High School,Skilled Manual,54880
25,M,M,0,0,0,0,High School,Manual,36762
45,F,M,1,1,1,1,Partial College,Management,109329
51,M,M,1,2,1,1,Partial High School,Skilled Manual,61355
39,M,M,1,1,2,1,Graduate Degree,Skilled Manual,60993
46,M,M,1,1,1,1,Partial College,Management,107531
31,F,M,0,1,0,0,Partial High School,Skilled Manual,55420
49,M,M,1,2,2,1,High School,Skilled Manual,53868
48,F,S,1,0,0,0,Partial College,Skilled Manual,57041
51,F,S,0,0,0,0,Partial High School,Manual,30373
33,M,S,0,1,0,0,Partial College,Manual,31875
38,F,M,1,3,2,1,Bachelors,Clerical,78941
52,M,S,0,0,0,0,Partial College,Manual,27257
45,M,M,1,3,2,0,High School,Clerical,84915
32,F,S,0,1,0,0,Partial College,Clerical,85390
37,M,S,0,1,0,0,Bachelors,Skilled Manual,57813
39,M,M,1,1,1,1,Graduate Degree,Skilled Manual,53439
41,M,M,1,1,1,1,High School,Clerical,86250
32,F,S,0,2,0,0,Graduate Degree,Management,105578
37,F,S,0,2,0,0,Bachelors,Clerical,77905
37,M,S,0,1,0,0,Bachelors,Skilled Manual,61847
29,F,S,0,3,0,0,Partial College,Clerical,86062
47,M,M,1,1,2,0,Bachelors,Clerical,86032
47,F,S,0,0,0,0,Partial College,Manual,25715
56,F,S,1,2,0,0,Partial College,Management,111971
33,M,S,0,0,0,0,High School,Clerical,87743
44,F,S,0,1,0,0,Partial College,Manual,28268
42,M,M,1,2,2,0,Partial College,Management,104246
37,M,S,0,2,0,0,Bachelors,Skilled Manual,52500
44,F,S,1,1,0,0,High School,Clerical,83857
48,F,S,0,1,0,0,High School,Manual,36072
38,M,S,1,2,0,0,Bachelors,Professional,132013
33,M,S,0,1,0,0,Graduate Degree,Manual,28362
52,M,S,1,2,0,0,High School,Skilled Manual,53586
37,F,M,0,1,1,1,Bachelors,Skilled Manual,60816
35,M,M,0,0,1,1,Partial College,Manual,34005
46,M,M,1,1,2,1,Graduate Degree,Manual,36925
38,M,M,1,2,2,0,Graduate Degree,Skilled Manual,62749
25,M,S,0,1,0,0,Partial High School,Skilled Manual,56607
27,M,S,0,1,0,0,Partial College,Manual,29210
41,M,S,1,3,0,0,Bachelors,Management,103737
34,F,M,1,1,2,1,Graduate Degree,Clerical,86749
29,F,M,0,1,0,0,Partial College,Clerical,83843
33,M,M,0,2,1,0,Partial College,Skilled Manual,60674
33,F,S,0,2,0,0,Graduate Degree,Management,104175
38,M,S,0,0,0,0,Partial College,Skilled Manual,60389
42,F,S,0,1,0,0,Bachelors,Manual,32636
34,M,S,0,1,0,0,Partial High School,Skilled Manual,52341
27,M,S,0,0,0,0,High School,Clerical,77538
28,F,S,0,1,0,0,High School,Clerical,80678
31,M,M,0,1,0,0,High School,Manual,30462
37,F,S,0,1,0,0,Bachelors,Manual,34094
44,M,M,1,0,2,1,High School,Skilled Manual,56899
58,M,S,1,0,1,0,High School,Skilled Manual,54059
56,M,M,1,1,2,0,Partial College,Manual,27261
51,M,M,1,1,2,0,Partial College,Skilled Manual,55990
38,F,M,1,3,2,0,Bachelors,Management,102780
51,F,M,1,0,2,1,High School,Manual,27646
40,F,M,1,1,1,1,Bachelors,Management,102062
26,M,S,0,1,0,0,High School,Manual,32873
54,F,S,1,2,0,0,Partial College,Clerical,81239
29,F,S,0,0,0,0,High School,Manual,27670
35,F,M,1,2,0,0,Bachelors,Management,102139
26,M,S,0,2,0,0,Partial College,Skilled Manual,61401
38,M,S,1,2,0,0,Graduate Degree,Professional,129805
30,M,S,0,0,0,0,High School,Skilled Manual,54235
33,M,M,1,0,1,0,Bachelors,Management,109045
28,F,S,0,2,0,0,High School,Skilled Manual,53207
56,M,S,1,2,0,0,Partial College,Clerical,87067
26,F,S,0,1,0,0,High School,Clerical,82397
38,F,S,1,3,0,0,Graduate Degree,Management,103333
40,F,M,1,0,1,0,Graduate Degree,Clerical,80389
38,M,S,0,1,0,0,Bachelors,Clerical,78116
67,F,M,1,1,3,0,Bachelors,Clerical,82786
31,M,S,0,0,0,0,Partial High School,Manual,34275
54,M,M,1,1,2,0,High School,Skilled Manual,56098
54,F,M,1,2,2,1,Partial College,Skilled Manual,53559
32,F,S,0,3,0,0,High School,Clerical,85442
25,M,M,0,0,0,0,High School,Manual,31265
31,F,S,0,0,0,0,Bachelors,Management,112390
39,M,S,1,2,0,0,Graduate Degree,Management,103909
34,M,M,1,3,2,1,Bachelors,Clerical,79217
50,M,S,0,0,0,0,High School,Manual,36439
44,F,M,1,0,2,0,Partial College,Clerical,86206
62,M,M,1,1,3,0,Bachelors,Skilled Manual,53804
44,F,M,1,3,2,1,Partial College,Clerical,77195
55,M,S,1,3,0,0,Partial College,Clerical,77288
57,M,M,1,1,1,0,Partial College,Skilled Manual,59629
45,M,S,1,1,0,0,Partial College,Clerical,80865
58,M,M,1,0,2,1,Partial High School,Skilled Manual,53686
30,F,S,0,1,0,0,Partial High School,Skilled Manual,53060
32,F,S,0,1,0,0,Partial High School,Manual,26668
40,M,S,0,0,0,0,Bachelors,Clerical,80583
58,F,S,1,0,1,1,Partial High School,Skilled Manual,61178
47,F,M,1,1,2,1,High School,Skilled Manual,58120
33,F,S,0,1,0,0,High School,Skilled Manual,51591
43,M,M,1,1,1,0,Partial College,Management,108009
37,F,S,0,1,0,0,Bachelors,Skilled Manual,58638
27,F,S,0,0,0,0,Partial College,Skilled Manual,54100
39,M,S,1,2,0,0,Bachelors,Management,106324
31,M,M,0,1,0,0,Partial College,Manual,31458
42,F,M,1,0,1,1,Bachelors,Skilled Manual,58068
57,M,S,1,1,0,0,Partial High School,Manual,29701
32,F,S,0,1,0,0,High School,Skilled Manual,60650
42,M,M,1,1,2,1,Bachelors,Skilled Manual,60481
44,F,S,0,2,0,0,Partial College,Skilled Manual,57124
42,F,S,0,1,0,0,Bachelors,Skilled Manual,52756
66,F,S,1,1,1,0,Graduate Degree,Skilled Manual,54490
44,M,M,1,0,2,1,Graduate Degree,Manual,29695
39,F,S,1,1,0,0,Graduate Degree,Professional,130954
59,F,M,1,1,2,0,Bachelors,Skilled Manual,62032
41,M,S,0,2,0,0,High School,Clerical,76637
27,F,S,0,2,0,0,Partial College,Clerical,82641
35,M,S,0,2,0,0,Partial College,Management,111567
45,M,M,1,0,2,1,Partial College,Clerical,83564
39,F,S,1,3,0,0,Bachelors,Management,105074
44,M,M,1,2,2,1,Bachelors,Clerical,78276
58,F,M,1,0,2,0,Bachelors,Manual,35248
41,F,M,1,2,2,0,Bachelors,Professional,137507
25,M,M,0,1,0,0,Partial High School,Manual,31388
25,F,M,0,3,0,0,High School,Clerical,84003
44,M,M,1,2,1,1,High School,Skilled Manual,58820
34,M,S,0,0,0,0,Partial College,Manual,34776
48,F,S,1,2,0,0,High School,Skilled Manual,59268
33,F,S,0,0,0,0,High School,Skilled Manual,61278
33,M,S,0,1,0,0,High School,Manual,26918
32,M,M,1,2,0,0,Graduate Degree,Management,108842
48,F,M,1,2,2,1,High School,Skilled Manual,60422
45,F,M,1,2,2,1,Partial College,Skilled Manual,52540
46,F,M,1,2,2,1,Bachelors,Skilled Manual,52620
48,F,S,1,1,0,0,Partial High School,Skilled Manual,58560
35,M,S,0,1,0,0,Partial College,Skilled Manual,53019
33,M,M,0,1,1,1,Partial College,Skilled Manual,60667
56,M,S,1,0,0,0,Partial High School,Manual,31165
60,M,S,1,1,1,0,Partial High School,Manual,25919
38,F,S,1,2,0,0,Bachelors,Management,106016
51,F,M,1,1,2,1,Partial College,Skilled Manual,53092
35,M,M,1,1,2,0,Bachelors,Management,111876
59,M,S,1,3,1,1,Partial College,Management,109013
39,F,S,0,3,0,0,Graduate Degree,Clerical,79337
39,F,S,0,2,0,0,Graduate Degree,Skilled Manual,57972
37,F,S,0,0,0,0,High School,Skilled Manual,60113
48,M,M,1,2,2,0,Partial College,Management,106415
50,F,M,1,1,2,0,High School,Manual,33637
70,F,M,1,1,2,2,Graduate Degree,Professional,133147
26,F,S,0,1,0,0,Bachelors,Skilled Manual,54550
59,M,M,1,1,2,2,Bachelors,Skilled Manual,52814
28,M,S,0,2,0,0,Partial College,Clerical,87161
50,M,M,1,1,2,1,High School,Manual,26012
36,M,M,1,3,2,1,Graduate Degree,Clerical,84512
36,F,M,0,0,1,1,Bachelors,Skilled Manual,61488
48,M,M,1,1,2,1,High School,Skilled Manual,56599
55,F,S,1,0,0,0,High School,Manual,25900
44,M,S,0,1,0,0,Graduate Degree,Skilled Manual,58170
38,F,S,0,1,0,0,Partial College,Skilled Manual,55112
41,F,S,0,1,0,0,Bachelors,Clerical,85723
44,M,M,1,2,2,1,Partial College,Management,105476
41,M,M,0,1,1,1,Bachelors,Manual,27398
54,F,M,1,1,2,0,Partial College,Skilled Manual,60238
30,F,S,0,0,0,0,Partial College,Manual,28925
43,F,S,0,1,0,0,Partial College,Skilled Manual,52472
43,F,S,0,0,0,0,Partial College,Manual,34262
50,M,M,1,3,2,1,High School,Clerical,81848
51,M,M,1,0,2,0,Partial High School,Manual,31059
53,M,M,1,3,2,1,Partial College,Clerical,83923
58,M,M,1,2,2,1,Partial College,Clerical,78674
42,M,M,1,1,2,0,Partial College,Clerical,77930
41,F,S,0,2,0,0,Partial High School,Skilled Manual,60280
31,M,M,0,0,0,0,Partial High School,Skilled Manual,54827
53,M,M,1,1,2,2,Partial High School,Skilled Manual,51052
27,M,S,0,1,0,0,Bachelors,Manual,34761
47,M,M,1,0,1,0,Partial College,Manual,27802
66,F,M,1,2,2,2,Bachelors,Management,111377
31,M,S,0,0,0,0,Bachelors,Manual,36327
29,F,S,0,1,0,0,Partial College,Manual,32176
41,F,S,0,2,0,0,Partial College,Skilled Manual,54509
55,F,M,1,1,2,1,High School,Skilled Manual,59708
42,M,S,0,2,0,0,Bachelors,Skilled Manual,61366
33,M,S,0,2,0,0,Bachelors,Clerical,77674
33,M,S,1,1,0,0,Bachelors,Professional,131003
35,M,M,0,1,2,1,Bachelors,Skilled Manual,53028
27,F,S,0,2,0,0,Partial College,Clerical,83894
34,M,S,0,2,0,0,Partial College,Clerical,85567
56,M,M,1,2,2,1,Partial College,Management,108232
43,M,S,1,2,0,0,Bachelors,Clerical,78862
25,F,S,0,0,0,0,High School,Skilled Manual,56947
52,F,M,1,1,2,1,High School,Skilled Manual,52333
47,M,M,1,1,2,1,Partial College,Manual,33416
44,F,S,1,2,0,0,Partial College,Clerical,78665
59,M,M,1,1,3,0,Bachelors,Clerical,84403
43,M,S,1,2,0,0,Partial College,Management,104571
30,M,S,0,0,0,0,High School,Skilled Manual,57088
40,M,S,1,1,0,0,Bachelors,Management,112804
33,M,M,1,3,2,1,Graduate Degree,Management,105252
51,M,M,1,1,2,1,Partial High School,Manual,34489
45,F,S,0,1,0,0,Partial College,Skilled Manual,61916
40,M,S,0,1,0,0,Bachelors,Manual,27541
41,M,S,1,2,0,0,Bachelors,Professional,137206
40,F,S,0,0,0,0,Bachelors,Manual,29707
29,M,S,0,0,0,0,Partial College,Skilled Manual,56943
67,F,M,1,2,3,2,Graduate Degree,Professional,131183
